journey_date,train_number,section_number,from_station,from_code,to_station,to_code,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,scheduled_running_time_min,actual_running_time_min,section_delay_min,departure_delay_min,arrival_delay_min,delay_change_min,recovery_min
2026-08-24,12705,8,Nekonda,NKD,Warangal,WL,2026-08-24 18:55:00+05:30,2026-08-24 19:28:00+05:30,2026-08-24 19:18:00+05:30,2026-08-24 19:41:00+05:30,33.0,23.0,-10.0,23.0,13.0,-10.0,10.0
2026-08-24,12705,9,Warangal,WL,Kazipet Jn,KZJ,2026-08-24 19:30:00+05:30,2026-08-24 19:48:00+05:30,2026-08-24 19:44:00+05:30,2026-08-24 20:00:00+05:30,18.0,16.0,-2.0,14.0,12.0,-2.0,2.0
2026-08-24,12705,10,Kazipet Jn,KZJ,Ghanpur,GNP,2026-08-24 19:50:00+05:30,2026-08-24 20:19:00+05:30,2026-08-24 20:02:00+05:30,2026-08-24 20:19:00+05:30,29.0,17.0,-12.0,12.0,0.0,-12.0,12.0
2026-08-24,12705,11,Ghanpur,GNP,Jangaon,ZN,2026-08-24 20:20:00+05:30,2026-08-24 20:39:00+05:30,2026-08-24 20:21:00+05:30,2026-08-24 20:50:00+05:30,19.0,29.0,10.0,1.0,11.0,10.0,0.0
2026-08-24,12705,12,Jangaon,ZN,Aler,ALER,2026-08-24 20:40:00+05:30,2026-08-24 20:54:00+05:30,2026-08-24 20:51:00+05:30,2026-08-24 21:05:00+05:30,14.0,14.0,0.0,11.0,11.0,0.0,0.0
2026-08-24,12705,13,Aler,ALER,Bhongir,BG,2026-08-24 20:55:00+05:30,2026-08-24 21:14:00+05:30,2026-08-24 21:06:00+05:30,2026-08-24 21:29:00+05:30,19.0,23.0,4.0,11.0,15.0,4.0,0.0
2026-08-24,12705,14,Bhongir,BG,Charlapalli,CHZ,2026-08-24 21:15:00+05:30,2026-08-24 21:44:00+05:30,2026-08-24 21:30:00+05:30,2026-08-24 22:00:00+05:30,29.0,30.0,1.0,15.0,16.0,1.0,0.0
2026-08-24,12705,15,Charlapalli,CHZ,Secunderabad Jn,SC,2026-08-24 21:45:00+05:30,2026-08-24 22:28:00+05:30,2026-08-24 22:03:00+05:30,2026-08-24 22:30:00+05:30,43.0,27.0,-16.0,18.0,2.0,-16.0,16.0
2026-08-25,12705,1,Guntur Jn,GNT,Mangalagiri,MAG,2026-08-25 15:35:00+05:30,2026-08-25 15:56:00+05:30,2026-08-25 15:35:00+05:30,2026-08-25 15:58:00+05:30,21.0,23.0,2.0,0.0,2.0,2.0,0.0
2026-08-25,12705,2,Mangalagiri,MAG,Vijayawada Jn,BZA,2026-08-25 15:57:00+05:30,2026-08-25 16:20:00+05:30,,2026-08-25 16:32:00+05:30,23.0,,,,12.0,,
2026-08-25,12705,3,Vijayawada Jn,BZA,Madhira,MDR,2026-08-25 16:25:00+05:30,2026-08-25 17:14:00+05:30,2026-08-25 16:38:00+05:30,2026-08-25 17:29:00+05:30,49.0,51.0,2.0,13.0,15.0,2.0,0.0
2026-08-25,12705,4,Madhira,MDR,Khammam,KMT,2026-08-25 17:15:00+05:30,2026-08-25 17:49:00+05:30,2026-08-25 17:31:00+05:30,2026-08-25 18:20:00+05:30,34.0,49.0,15.0,16.0,31.0,15.0,0.0
2026-08-25,12705,5,Khammam,KMT,Dornakal Jn,DKJ,2026-08-25 17:50:00+05:30,2026-08-25 18:09:00+05:30,2026-08-25 18:23:00+05:30,2026-08-25 18:48:00+05:30,19.0,25.0,6.0,33.0,39.0,6.0,0.0
2026-08-25,12705,6,Dornakal Jn,DKJ,Mahbubabad,MABD,2026-08-25 18:10:00+05:30,2026-08-25 18:29:00+05:30,2026-08-25 18:51:00+05:30,2026-08-25 19:08:00+05:30,19.0,17.0,-2.0,41.0,39.0,-2.0,2.0
2026-08-25,12705,7,Mahbubabad,MABD,Nekonda,NKD,2026-08-25 18:30:00+05:30,2026-08-25 18:54:00+05:30,2026-08-25 19:10:00+05:30,2026-08-25 19:37:00+05:30,24.0,27.0,3.0,40.0,43.0,3.0,0.0
2026-08-25,12705,8,Nekonda,NKD,Warangal,WL,2026-08-25 18:55:00+05:30,2026-08-25 19:28:00+05:30,2026-08-25 19:39:00+05:30,2026-08-25 20:00:00+05:30,33.0,21.0,-12.0,44.0,32.0,-12.0,12.0
2026-08-25,12705,9,Warangal,WL,Kazipet Jn,KZJ,2026-08-25 19:30:00+05:30,2026-08-25 19:48:00+05:30,2026-08-25 20:06:00+05:30,2026-08-25 20:23:00+05:30,18.0,17.0,-1.0,36.0,35.0,-1.0,1.0
